"name","home_team_name","away_team_name","id","uid","date","tz","home_pG","away_pG","home_chance","away_chance","draw_chance","home_score","away_score","home_win","away_win"
"Venezuela at Ecuador","Ecuador","Venezuela",690708,"s:600~l:780~e:690708~c:690708","2024-06-22 22:00:00","UTC",1.0048,0.686,0.422133333333333,0.240933333333333,0.336933333333333,NA,NA,NA,NA
"Jamaica at Mexico","Mexico","Jamaica",690707,"s:600~l:780~e:690707~c:690707","2024-06-23 01:00:00","UTC",1.8644,1.00586666666667,0.5748,0.202066666666667,0.223133333333333,NA,NA,NA,NA
"Bolivia at United States","United States","Bolivia",690709,"s:600~l:780~e:690709~c:690709","2024-06-23 22:00:00","UTC",2.2894,0.736866666666667,0.72,0.1064,0.1736,NA,NA,NA,NA
"Panama at Uruguay","Uruguay","Panama",690710,"s:600~l:780~e:690710~c:690710","2024-06-24 01:00:00","UTC",1.88853333333333,0.675266666666667,0.6594,0.1228,0.2178,NA,NA,NA,NA
"Paraguay at Colombia","Colombia","Paraguay",690711,"s:600~l:780~e:690711~c:690711","2024-06-24 22:00:00","UTC",1.59286666666667,0.366,0.676733333333333,0.0805333333333333,0.242733333333333,NA,NA,NA,NA
"Costa Rica at Brazil","Brazil","Costa Rica",690712,"s:600~l:780~e:690712~c:690712","2024-06-25 01:00:00","UTC",2.42153333333333,0.7006,0.7582,0.0876666666666667,0.154133333333333,NA,NA,NA,NA
"Canada at Peru","Peru","Canada",690714,"s:600~l:780~e:690714~c:690714","2024-06-25 22:00:00","UTC",0.963133333333333,0.916066666666667,0.3538,0.328666666666667,0.317533333333333,NA,NA,NA,NA
"Argentina at Chile","Chile","Argentina",690713,"s:600~l:780~e:690713~c:690713","2024-06-26 01:00:00","UTC",0.4066,1.7836,0.0791333333333333,0.716466666666667,0.2044,NA,NA,NA,NA
"Jamaica at Ecuador","Ecuador","Jamaica",690716,"s:600~l:780~e:690716~c:690716","2024-06-26 22:00:00","UTC",1.59873333333333,0.573466666666667,0.621466666666667,0.135,0.243533333333333,NA,NA,NA,NA
"Mexico at Venezuela","Venezuela","Mexico",690715,"s:600~l:780~e:690715~c:690715","2024-06-27 01:00:00","UTC",1.20206666666667,1.242,0.356066666666667,0.368666666666667,0.275266666666667,NA,NA,NA,NA
"United States at Panama","Panama","United States",690717,"s:600~l:780~e:690717~c:690717","2024-06-27 22:00:00","UTC",0.902133333333333,1.81753333333333,0.1878,0.592066666666667,0.220133333333333,NA,NA,NA,NA
"Bolivia at Uruguay","Uruguay","Bolivia",690718,"s:600~l:780~e:690718~c:690718","2024-06-28 01:00:00","UTC",2.27506666666667,0.580733333333333,0.757933333333333,0.079,0.163066666666667,NA,NA,NA,NA
"Costa Rica at Colombia","Colombia","Costa Rica",690720,"s:600~l:780~e:690720~c:690720","2024-06-28 22:00:00","UTC",2.12446666666667,0.586133333333333,0.728066666666667,0.0874666666666667,0.184466666666667,NA,NA,NA,NA
"Brazil at Paraguay","Paraguay","Brazil",690719,"s:600~l:780~e:690719~c:690719","2024-06-29 01:00:00","UTC",0.476533333333333,1.76606666666667,0.0959333333333333,0.688333333333333,0.215733333333333,NA,NA,NA,NA
"Peru at Argentina","Argentina","Peru",690721,"s:600~l:780~e:690721~c:690721","2024-06-30 00:00:00","UTC",1.53313333333333,0.282666666666667,0.696133333333333,0.0657333333333333,0.238133333333333,NA,NA,NA,NA
"Chile at Canada","Canada","Chile",690722,"s:600~l:780~e:690722~c:690722","2024-06-30 00:00:00","UTC",1.1134,1.2916,0.3198,0.4058,0.2744,NA,NA,NA,NA
"Venezuela at Jamaica","Jamaica","Venezuela",690724,"s:600~l:780~e:690724~c:690724","2024-07-01 00:00:00","UTC",0.774266666666667,1.47253333333333,0.198266666666667,0.5384,0.263333333333333,NA,NA,NA,NA
"Ecuador at Mexico","Mexico","Ecuador",690723,"s:600~l:780~e:690723~c:690723","2024-07-01 00:00:00","UTC",1.03593333333333,1.29833333333333,0.303533333333333,0.429466666666667,0.267,NA,NA,NA,NA
"Panama at Bolivia","Bolivia","Panama",690726,"s:600~l:780~e:690726~c:690726","2024-07-02 01:00:00","UTC",1.183,1.7426,0.262533333333333,0.503533333333333,0.233933333333333,NA,NA,NA,NA
"Uruguay at United States","United States","Uruguay",690725,"s:600~l:780~e:690725~c:690725","2024-07-02 01:00:00","UTC",1.07993333333333,1.36313333333333,0.302266666666667,0.431733333333333,0.266,NA,NA,NA,NA
"Colombia at Brazil","Brazil","Colombia",690728,"s:600~l:780~e:690728~c:690728","2024-07-03 01:00:00","UTC",1.34553333333333,1.3182,0.3776,0.364466666666667,0.257933333333333,NA,NA,NA,NA
"Paraguay at Costa Rica","Costa Rica","Paraguay",690727,"s:600~l:780~e:690727~c:690727","2024-07-03 01:00:00","UTC",0.945133333333333,1.09513333333333,0.310066666666667,0.387733333333333,0.3022,NA,NA,NA,NA
