"name","home_team_name","away_team_name","id","uid","date","tz","home_pG","away_pG","home_chance","away_chance","draw_chance","home_score","away_score","home_win","away_win"
"Canada at Argentina","Argentina","Canada",690705,"s:600~l:780~e:690705~c:690705","2024-06-21 00:00:00","UTC",2.1404,0.580266666666667,0.734666666666667,0.0861333333333333,0.1792,2,0,TRUE,FALSE
"Chile at Peru","Peru","Chile",690706,"s:600~l:780~e:690706~c:690706","2024-06-22 00:00:00","UTC",0.894333333333333,1.06313333333333,0.2994,0.382533333333333,0.318066666666667,0,0,FALSE,FALSE
"Venezuela at Ecuador","Ecuador","Venezuela",690708,"s:600~l:780~e:690708~c:690708","2024-06-22 22:00:00","UTC",1.0048,0.686,0.422133333333333,0.240933333333333,0.336933333333333,1,2,FALSE,TRUE
"Jamaica at Mexico","Mexico","Jamaica",690707,"s:600~l:780~e:690707~c:690707","2024-06-23 01:00:00","UTC",1.85573333333333,1.00426666666667,0.572133333333333,0.1996,0.228266666666667,1,0,TRUE,FALSE
"Bolivia at United States","United States","Bolivia",690709,"s:600~l:780~e:690709~c:690709","2024-06-23 22:00:00","UTC",2.26173333333333,0.740266666666667,0.722066666666667,0.105533333333333,0.1724,2,0,TRUE,FALSE
"Panama at Uruguay","Uruguay","Panama",690710,"s:600~l:780~e:690710~c:690710","2024-06-24 01:00:00","UTC",1.9142,0.6732,0.669533333333333,0.124,0.206466666666667,3,1,TRUE,FALSE
"Paraguay at Colombia","Colombia","Paraguay",690711,"s:600~l:780~e:690711~c:690711","2024-06-24 22:00:00","UTC",1.5656,0.369466666666667,0.674466666666667,0.0838,0.241733333333333,2,1,TRUE,FALSE
"Costa Rica at Brazil","Brazil","Costa Rica",690712,"s:600~l:780~e:690712~c:690712","2024-06-25 01:00:00","UTC",2.38746666666667,0.701133333333333,0.749066666666667,0.0896,0.161333333333333,0,0,FALSE,FALSE
"Canada at Peru","Peru","Canada",690714,"s:600~l:780~e:690714~c:690714","2024-06-25 22:00:00","UTC",0.9498,0.919466666666667,0.347666666666667,0.3314,0.320933333333333,0,1,FALSE,TRUE
"Argentina at Chile","Chile","Argentina",690713,"s:600~l:780~e:690713~c:690713","2024-06-26 01:00:00","UTC",0.414466666666667,1.76946666666667,0.0756666666666667,0.708333333333333,0.216,0,1,FALSE,TRUE
"Jamaica at Ecuador","Ecuador","Jamaica",690716,"s:600~l:780~e:690716~c:690716","2024-06-26 22:00:00","UTC",1.43926666666667,0.6056,0.574133333333333,0.1566,0.269266666666667,3,1,TRUE,FALSE
