"team_points","num_wins","goal_diff","goals_for","team","group","ovr_elo","off_elo","def_elo","first_place","second_place","third_place","fourth_place","make_qf","make_semis","make_final","win_final"
9,3,5,5,"Argentina","A",2333.43641819754,1838.74883529209,1994.68758290545,1,0,0,0,1,1,0.7964,0.389266666666667
0,0,-9,1,"Bolivia","C",1665.30829346094,1608.22267530826,1557.08561815268,0,0,0,1,0,0,0,0
5,1,3,5,"Brazil","D",2252.83435109244,1819.03933044628,1933.79502064615,0,1,0,0,1,0,0,0
4,1,-1,1,"Canada","A",2012.81102024126,1704.60117888614,1808.20984135512,0,1,0,0,1,1,0.2036,0.0402666666666667
2,0,-1,0,"Chile","A",2001.22506074939,1635.02528781895,1866.19977293044,0,0,1,0,0,0,0,0
7,2,4,6,"Colombia","D",2376.33657474231,1927.81169967538,1948.52487506693,1,0,0,0,1,1,0.6224,0.372266666666667
4,1,-2,2,"Costa Rica","D",1875.56734120555,1656.87584104798,1718.69150015757,0,0,1,0,0,0,0,0
4,1,1,4,"Ecuador","B",2099.86222420565,1737.64074257661,1862.22148162904,0,1,0,0,1,0,0,0
0,0,-6,1,"Jamaica","B",1711.43955022724,1594.30391143126,1617.13563879598,0,0,0,1,0,0,0,0
4,1,0,1,"Mexico","B",1987.85709092102,1660.34123110754,1827.51585981348,0,0,1,0,0,0,0,0
6,2,1,6,"Panama","C",1909.02864460261,1752.35308769329,1656.67555690932,0,1,0,0,1,0,0,0
0,0,-5,3,"Paraguay","D",1815.56199831233,1626.89116169564,1688.67083661669,0,0,0,1,0,0,0,0
1,0,-3,0,"Peru","A",1887.17877880962,1561.4567940114,1825.72198479822,0,0,0,1,0,0,0,0
3,1,0,3,"United States","C",1962.13951257633,1668.34670843104,1793.79280414529,0,0,1,0,0,0,0,0
9,3,8,9,"Uruguay","C",2309.61015747279,1837.64537548208,1971.96478199072,1,0,0,0,1,1,0.3776,0.1982
9,3,5,6,"Venezuela","B",2090.12889170531,1733.64729723829,1856.48159446702,1,0,0,0,1,0,0,0
