"name","home_team_name","away_team_name","id","uid","date","tz","home_pG","away_pG","home_chance","away_chance","draw_chance","home_score","away_score","home_win","away_win"
"Albania at Croatia","Croatia","Albania",690586,"s:600~l:781~e:690586~c:690586","2024-06-19 13:00:00","UTC",1.56846666666667,0.6226,0.5984,0.150533333333333,0.251066666666667,NA,NA,NA,NA
"Hungary at Germany","Germany","Hungary",690587,"s:600~l:781~e:690587~c:690587","2024-06-19 16:00:00","UTC",2.463,0.967133333333333,0.706933333333333,0.130333333333333,0.162733333333333,NA,NA,NA,NA
"Switzerland at Scotland","Scotland","Switzerland",690585,"s:600~l:781~e:690585~c:690585","2024-06-19 19:00:00","UTC",1.11973333333333,2.0978,0.193733333333333,0.600533333333333,0.205733333333333,NA,NA,NA,NA
"Serbia at Slovenia","Slovenia","Serbia",690589,"s:600~l:781~e:690589~c:690589","2024-06-20 13:00:00","UTC",1.08253333333333,1.51886666666667,0.2682,0.473066666666667,0.258733333333333,NA,NA,NA,NA
"England at Denmark","Denmark","England",690590,"s:600~l:781~e:690590~c:690590","2024-06-20 16:00:00","UTC",0.663266666666667,1.45673333333333,0.1688,0.558866666666667,0.272333333333333,NA,NA,NA,NA
"Italy at Spain","Spain","Italy",690588,"s:600~l:781~e:690588~c:690588","2024-06-20 19:00:00","UTC",2.0614,1.01886666666667,0.615266666666667,0.180066666666667,0.204666666666667,NA,NA,NA,NA
"Ukraine at Slovakia","Slovakia","Ukraine",690593,"s:600~l:781~e:690593~c:690593","2024-06-21 13:00:00","UTC",1.32273333333333,1.09606666666667,0.419066666666667,0.307133333333333,0.2738,NA,NA,NA,NA
"Austria at Poland","Poland","Austria",690591,"s:600~l:781~e:690591~c:690591","2024-06-21 16:00:00","UTC",0.919933333333333,1.40853333333333,0.248666666666667,0.4844,0.266933333333333,NA,NA,NA,NA
"France at Netherlands","Netherlands","France",690592,"s:600~l:781~e:690592~c:690592","2024-06-21 19:00:00","UTC",1.44833333333333,1.52373333333333,0.361266666666667,0.396066666666667,0.242666666666667,NA,NA,NA,NA
"Czechia at Georgia","Georgia","Czechia",690596,"s:600~l:781~e:690596~c:690596","2024-06-22 13:00:00","UTC",1.19106666666667,1.88833333333333,0.239533333333333,0.537933333333333,0.222533333333333,NA,NA,NA,NA
"Portugal at Turkey","Turkey","Portugal",690595,"s:600~l:781~e:690595~c:690595","2024-06-22 16:00:00","UTC",1.25313333333333,2.22173333333333,0.2102,0.5934,0.1964,NA,NA,NA,NA
"Romania at Belgium","Belgium","Romania",690594,"s:600~l:781~e:690594~c:690594","2024-06-22 19:00:00","UTC",1.44606666666667,0.6966,0.552666666666667,0.1834,0.263933333333333,NA,NA,NA,NA
"Hungary at Scotland","Scotland","Hungary",690597,"s:600~l:781~e:690597~c:690597","2024-06-23 19:00:00","UTC",1.30453333333333,1.73753333333333,0.287466666666667,0.477533333333333,0.235,NA,NA,NA,NA
"Germany at Switzerland","Switzerland","Germany",690598,"s:600~l:781~e:690598~c:690598","2024-06-23 19:00:00","UTC",1.26013333333333,2.21046666666667,0.212466666666667,0.585733333333333,0.2018,NA,NA,NA,NA
"Spain at Albania","Albania","Spain",690600,"s:600~l:781~e:690600~c:690600","2024-06-24 19:00:00","UTC",0.481066666666667,2.47786666666667,0.0522,0.8116,0.1362,NA,NA,NA,NA
"Italy at Croatia","Croatia","Italy",690599,"s:600~l:781~e:690599~c:690599","2024-06-24 19:00:00","UTC",1.10053333333333,1.3138,0.311,0.4136,0.2754,NA,NA,NA,NA
"Poland at France","France","Poland",690604,"s:600~l:781~e:690604~c:690604","2024-06-25 16:00:00","UTC",1.79113333333333,0.744,0.619266666666667,0.152666666666667,0.228066666666667,NA,NA,NA,NA
"Austria at Netherlands","Netherlands","Austria",690603,"s:600~l:781~e:690603~c:690603","2024-06-25 16:00:00","UTC",1.68166666666667,1.11406666666667,0.508933333333333,0.254666666666667,0.2364,NA,NA,NA,NA
"Serbia at Denmark","Denmark","Serbia",690601,"s:600~l:781~e:690601~c:690601","2024-06-25 19:00:00","UTC",1.19973333333333,1.35753333333333,0.332133333333333,0.4018,0.266066666666667,NA,NA,NA,NA
"Slovenia at England","England","Slovenia",690602,"s:600~l:781~e:690602~c:690602","2024-06-25 19:00:00","UTC",1.56513333333333,0.595,0.610333333333333,0.143733333333333,0.245933333333333,NA,NA,NA,NA
"Romania at Slovakia","Slovakia","Romania",690605,"s:600~l:781~e:690605~c:690605","2024-06-26 16:00:00","UTC",1.06713333333333,0.933133333333333,0.376333333333333,0.3142,0.309466666666667,NA,NA,NA,NA
"Belgium at Ukraine","Ukraine","Belgium",690606,"s:600~l:781~e:690606~c:690606","2024-06-26 16:00:00","UTC",0.870866666666667,1.6906,0.200266666666667,0.5646,0.235133333333333,NA,NA,NA,NA
"Turkey at Czechia","Czechia","Turkey",690608,"s:600~l:781~e:690608~c:690608","2024-06-26 19:00:00","UTC",1.52526666666667,1.58793333333333,0.368466666666667,0.399066666666667,0.232466666666667,NA,NA,NA,NA
"Portugal at Georgia","Georgia","Portugal",690607,"s:600~l:781~e:690607~c:690607","2024-06-26 19:00:00","UTC",0.8618,2.51753333333333,0.110066666666667,0.725266666666667,0.164666666666667,NA,NA,NA,NA
