"team_points","num_wins","goal_diff","goals_for","team","group","ovr_elo","off_elo","def_elo","first_place","second_place","third_place","fourth_place","make_r16","make_qf","make_semis","make_final","win_final"
7,2,6,8,"Germany","A",2108.60590735843,1824.30685027325,1784.29905708518,1,0,0,0,1,0.7216,0.372533333333333,0.247,0.168266666666667
3,1,-3,2,"Hungary","A",1925.4067642233,1642.77994859842,1782.62681562488,0,0,1,1,0,0,0,0,0
9,3,5,5,"Spain","B",2298.68495479675,1858.49279313239,1940.19216166436,1,0,0,0,1,0.796466666666667,0.486733333333333,0.338533333333333,0.2416
4,1,0,3,"Italy","B",2090.2175072853,1732.78995923892,1857.42754804638,0,1,0,0,1,0.534133333333333,0.300333333333333,0.165533333333333,0.0714
1,0,-3,3,"Poland","D",1948.3957643265,1717.00575377737,1731.39001054913,0,0,0,0,0,0,0,0,0
3,0,0,2,"Slovenia","C",1945.36289796326,1636.00301058054,1809.35988738272,0,0,1,1,1,0.312666666666667,0.0974,0.023,0.00853333333333333
2,0,-1,1,"Serbia","C",1995.00019395557,1692.84715906917,1802.1530348864,0,0,0,0,0,0,0,0,0
4,1,1,4,"Romania","E",1881.78429274287,1624.45494084591,1757.32935189696,1,0,0,0,1,0.248,0.0797333333333333,0.0262666666666667,0.00673333333333333
4,1,1,2,"Belgium","E",2136.10890601813,1736.24083595498,1899.86807006315,0,1,0,0,1,0.480133333333333,0.267,0.0971333333333333,0.0466666666666667
6,2,2,6,"Austria","D",2138.08464746009,1837.02946393256,1801.05518352753,1,0,0,0,1,0.663066666666667,0.3632,0.196666666666667,0.0831333333333333
6,2,0,5,"Turkey","F",1962.51635627535,1758.48541288496,1704.03094339039,0,1,0,0,1,0.336933333333333,0.131066666666667,0.0506666666666667,0.0132
6,2,2,5,"Portugal","F",2145.58088685177,1828.72285139917,1816.8580354526,1,0,0,0,1,0.687333333333333,0.342,0.133733333333333,0.0708666666666667
2,0,-3,3,"Croatia","B",2034.71548044302,1743.49475224085,1791.22072820217,0,0,1,1,0,0,0,0,0
1,0,-5,2,"Scotland","A",1830.75050032818,1641.93823991505,1688.81226041313,0,0,0,0,0,0,0,0,0
3,0,0,2,"Denmark","C",2008.35421776961,1671.39005315029,1836.96416461932,0,1,0,0,1,0.2784,0.0810666666666667,0.0294666666666667,0.0123333333333333
4,1,0,3,"Slovakia","E",1897.09426217149,1653.66306629151,1743.43119587998,0,0,1,1,1,0.287066666666667,0.0895333333333333,0.0280666666666667,0.00646666666666667
4,1,0,4,"Netherlands","D",2159.02969218061,1853.79922722038,1805.23046496023,0,0,1,1,1,0.752,0.426,0.237733333333333,0.0998
4,1,0,4,"Georgia","F",1956.34903902399,1710.52326342525,1745.82577559874,0,0,1,1,1,0.203533333333333,0.0596666666666667,0.019,0.00666666666666667
5,1,2,5,"Switzerland","A",2056.09933185913,1733.46629293403,1822.6330389251,0,1,0,0,1,0.465866666666667,0.2326,0.1028,0.0338666666666667
1,0,-2,3,"Albania","B",1868.56032982514,1628.69090890582,1739.86942091932,0,0,0,0,0,0,0,0,0
5,1,1,2,"France","D",2153.34757659989,1747.46345106541,1905.88412553448,0,1,0,0,1,0.519866666666667,0.2936,0.112133333333333,0.0590666666666667
5,1,1,2,"England","C",2120.02626900944,1710.54118420827,1909.48508480117,1,0,0,0,1,0.712933333333333,0.377533333333333,0.192266666666667,0.0714
4,1,-2,2,"Ukraine","E",1977.22446316414,1697.27682850494,1779.9476346592,0,0,0,0,0,0,0,0,0
1,0,-2,3,"Czech Republic","F",1898.73870407496,1671.51430270991,1727.22440136505,0,0,0,0,0,0,0,0,0
