"team","group","ovr_elo","off_rtg","def_rtg","team_points","num_wins","goal_diff","goals_for","first_place","second_place","third_place","fourth_place","make_r32","make_r16","make_qf","make_semis","make_final","win_3rd_place","win_final","update_time"
"South Africa","A",1708.0340010986,1.80934365696043,0.939677052455473,1.63566666666667,0.392933333333333,-3.73346666666667,1.91206666666667,0.00453333333333333,0.1032,0.2708,0.621466666666667,0.258333333333333,0.0702666666666667,0.0165333333333333,0.0036,0.001,0.000666666666666667,0.000266666666666667,"2026-06-11 21:06:50 UTC"
"South Korea","A",1921.69379925225,2.39114934066975,0.673691575953691,4.0102,1.10246666666667,-0.1506,4.009,0.142266666666667,0.3456,0.333066666666667,0.179066666666667,0.719666666666667,0.3208,0.1264,0.0492666666666667,0.0191333333333333,0.0118666666666667,0.00866666666666667,"2026-06-11 21:06:50 UTC"
"Czech Republic","A",1909.10753607472,2.43318489011838,0.74318446166842,3.95173333333333,1.08853333333333,-0.304333333333333,4.04846666666667,0.144,0.324466666666667,0.334466666666667,0.197066666666667,0.7018,0.307266666666667,0.1136,0.038,0.0131333333333333,0.00993333333333333,0.00433333333333333,"2026-06-11 21:06:50 UTC"
"Mexico","A",2077.00918707076,2.39502175192484,0.319166664465922,7.25386666666667,2.26753333333333,4.1884,5.53793333333333,0.7092,0.226733333333333,0.0616666666666667,0.0024,0.995533333333333,0.664733333333333,0.3664,0.1562,0.0679333333333333,0.0397333333333333,0.0276666666666667,"2026-06-11 21:06:50 UTC"
"Qatar","B",1557.97875996647,1.66769094603815,1.41745997807621,1.359,0.2952,-5.09486666666667,1.90666666666667,0.0117333333333333,0.0553333333333333,0.244666666666667,0.688266666666667,0.184466666666667,0.0331333333333333,0.00666666666666667,0.000866666666666667,6.66666666666667e-05,0,0,"2026-06-11 21:06:50 UTC"
"Bosnia and Herzegovina","B",1771.63419869771,1.9331865089696,0.815066997198552,3.02813333333333,0.796666666666667,-1.78053333333333,3.07513333333333,0.062,0.1782,0.5026,0.2572,0.5666,0.1708,0.0450666666666667,0.01,0.00213333333333333,0.00226666666666667,6e-04,"2026-06-11 21:06:50 UTC"
"Switzerland","B",2115.52057561237,2.87847950497978,0.461343038138493,6.216,1.87993333333333,3.5632,6.122,0.474466666666667,0.369733333333333,0.1272,0.0286,0.951733333333333,0.589,0.2738,0.1254,0.0624,0.0294,0.0288666666666667,"2026-06-11 21:06:50 UTC"
"Canada","B",1997.98758984293,2.30144054859882,0.426262296630519,6.24273333333333,1.87406666666667,3.3122,5.4718,0.4518,0.396733333333333,0.125533333333333,0.0259333333333333,0.951333333333333,0.542733333333333,0.240066666666667,0.0874,0.0323333333333333,0.0210666666666667,0.013,"2026-06-11 21:06:50 UTC"
"Morocco","C",2041.45239780298,2.34207348963323,0.35947579409392,4.46533333333333,1.23193333333333,0.503266666666667,3.8984,0.229533333333333,0.3422,0.268733333333333,0.159533333333333,0.767666666666667,0.3334,0.169133333333333,0.0744666666666667,0.0310666666666667,0.0183333333333333,0.013,"2026-06-11 21:06:50 UTC"
"Scotland","C",1963.15177154414,2.51341053175574,0.63500321980958,3.6596,0.9852,-0.782533333333333,3.8898,0.153466666666667,0.260066666666667,0.324466666666667,0.262,0.638466666666667,0.241266666666667,0.111333333333333,0.0468,0.0156666666666667,0.0123333333333333,0.00526666666666667,"2026-06-11 21:06:50 UTC"
"Brazil","C",2210.88451641836,3.0694192076696,0.357728072057018,6.211,1.86053333333333,3.2748,5.9876,0.559666666666667,0.256,0.133,0.0513333333333333,0.927266666666667,0.558466666666667,0.349066666666667,0.203866666666667,0.109133333333333,0.0547333333333333,0.0587333333333333,"2026-06-11 21:06:50 UTC"
"Haiti","C",1822.97641410504,2.23011939694827,0.875988296362778,2.29113333333333,0.5494,-2.99553333333333,2.85493333333333,0.0573333333333333,0.141733333333333,0.2738,0.527133333333333,0.3684,0.1032,0.0376666666666667,0.0100666666666667,0.0032,0.00193333333333333,0.001,"2026-06-11 21:06:50 UTC"
"United States","D",1923.2242914489,2.531013319884,0.771016913678657,4.2916,1.18786666666667,0.205,4.51866666666667,0.277933333333333,0.256133333333333,0.238866666666667,0.227066666666667,0.708333333333333,0.398733333333333,0.186133333333333,0.0796,0.0354,0.0186,0.0152666666666667,"2026-06-11 21:06:50 UTC"
"Turkey","D",2069.04396315352,2.7909720276572,0.523361809406886,4.52826666666667,1.26186666666667,0.579933333333333,4.60273333333333,0.305666666666667,0.267533333333333,0.2334,0.1934,0.750066666666667,0.434266666666667,0.205,0.0929333333333333,0.0418,0.0243333333333333,0.0192,"2026-06-11 21:06:50 UTC"
"Australia","D",1987.12661992932,2.31243958498168,0.455276074558011,3.57793333333333,0.922533333333333,-0.724,3.3702,0.179133333333333,0.227933333333333,0.273333333333333,0.3196,0.6006,0.305733333333333,0.128333333333333,0.0521333333333333,0.0207333333333333,0.0126,0.008,"2026-06-11 21:06:50 UTC"
"Paraguay","D",2032.79871824299,2.40629492144023,0.404583991396707,4.061,1.08653333333333,-0.0609333333333333,3.70733333333333,0.237266666666667,0.2484,0.2544,0.259933333333333,0.675133333333333,0.374266666666667,0.1708,0.0735333333333333,0.0310666666666667,0.0184666666666667,0.0132,"2026-06-11 21:06:50 UTC"
"Ecuador","E",2145.4504273852,2.38380857859084,0.219893761705632,5.721,1.6562,2.25093333333333,4.29493333333333,0.396466666666667,0.374266666666667,0.187466666666667,0.0418,0.9184,0.536133333333333,0.2734,0.1468,0.0698,0.0412,0.0328666666666667,"2026-06-11 21:06:50 UTC"
"Ivory Coast","E",1936.99112398904,2.26144381404662,0.547158143756489,3.69546666666667,0.9868,-0.563266666666667,3.387,0.1272,0.246533333333333,0.438466666666667,0.1878,0.683733333333333,0.259,0.0912666666666667,0.0346666666666667,0.0118666666666667,0.00826666666666667,0.00406666666666667,"2026-06-11 21:06:50 UTC"
"Germany","E",2167.61724161797,3.11994654349053,0.470022530211604,5.92353333333333,1.76786666666667,2.9938,5.8204,0.461533333333333,0.319466666666667,0.177,0.042,0.9262,0.548666666666667,0.2894,0.159,0.0836666666666667,0.041,0.0418666666666667,"2026-06-11 21:06:50 UTC"
